模型名称,评估端指标,N,Spearman_rho,Spearman_p,Kendall_tau_b,Kendall_p,Spearman_p_BH,Kendall_p_BH
deepseek_v4_pro,识别层评分,172,-0.001523,0.984179,-0.002265,0.972216,0.984179,0.972216
deepseek_v4_pro,理解层评分,172,0.0744,0.332058,0.062609,0.326484,0.498087,0.489726
deepseek_v4_pro,行动层评分,172,0.059142,0.440906,0.051044,0.440927,0.617269,0.617297
doubao-seed-2-0-lite-260428,识别层评分,210,-0.085661,0.216381,-0.071532,0.223151,0.388852,0.390514
doubao-seed-2-0-lite-260428,理解层评分,210,0.012578,0.856212,0.012194,0.834281,0.899022,0.875995
doubao-seed-2-0-lite-260428,行动层评分,210,0.107502,0.12041,0.095055,0.117758,0.36123,0.353273
doubao-seed-2-0-mini-260428,识别层评分,211,0.047613,0.491512,0.043433,0.480936,0.624949,0.627985
doubao-seed-2-0-mini-260428,理解层评分,211,0.128729,0.061963,0.112715,0.063096,0.253275,0.251404
doubao-seed-2-0-mini-260428,行动层评分,211,0.192892,0.004928,0.176005,0.00533,0.034493,0.037312
doubao-seed-character-260628,识别层评分,257,0.086846,0.165112,0.073982,0.171672,0.385261,0.368707
doubao-seed-character-260628,理解层评分,257,0.08287,0.185401,0.072101,0.175575,0.388852,0.368707
doubao-seed-character-260628,行动层评分,257,0.181261,0.003547,0.159026,0.003777,0.034493,0.037312
glm-4-plus,识别层评分,118,0.099467,0.28388,0.087888,0.28255,0.458576,0.456427
glm-4-plus,理解层评分,118,0.133157,0.150585,0.12037,0.146085,0.385261,0.368707
glm-4-plus,行动层评分,118,0.291272,0.001374,0.258253,0.001832,0.028857,0.037312
glm-5-2-260617,识别层评分,98,-0.033716,0.741714,-0.028173,0.745966,0.819789,0.824489
glm-5-2-260617,理解层评分,98,0.124426,0.222201,0.105636,0.21762,0.388852,0.390514
glm-5-2-260617,行动层评分,98,0.067992,0.505911,0.058525,0.508369,0.624949,0.627985
moonshot-v1-8k,识别层评分,182,0.037999,0.610547,0.035139,0.607486,0.712305,0.708734
moonshot-v1-8k,理解层评分,182,0.133512,0.072364,0.126672,0.07183,0.253275,0.251404
moonshot-v1-8k,行动层评分,182,0.183956,0.012924,0.170928,0.013152,0.067851,0.069047
