指标,分值,数量,占有效样本比例
被理解感,1.0,897,0.691063
被理解感,2.0,381,0.293529
被理解感,3.0,20,0.015408
情绪缓解感,1.0,798,0.614792
情绪缓解感,2.0,446,0.343606
情绪缓解感,3.0,54,0.041602
个性化贴合度,0.0,1,0.00077
个性化贴合度,1.0,796,0.613251
个性化贴合度,2.0,432,0.33282
个性化贴合度,3.0,69,0.053159
交流舒适度,0.0,2,0.001541
交流舒适度,1.0,637,0.490755
交流舒适度,2.0,518,0.399076
交流舒适度,3.0,141,0.108629
识别层评分,0.0,410,0.318076
识别层评分,1.0,187,0.145074
识别层评分,2.0,692,0.53685
理解层评分,0.0,310,0.240497
理解层评分,1.0,626,0.485648
理解层评分,2.0,353,0.273856
行动层评分,0.0,124,0.096199
行动层评分,1.0,221,0.171451
行动层评分,2.0,944,0.732351
