列名,含义,分类规则,原始数据加权统计,抽样500统计,原始数据有效N,原始数据缺失率(%),抽样500有效N,抽样500缺失率(%),最大绝对差异(百分点)
ba001,访员记录性别,原始编码：1=男；2=女,男48.0%，女52.0%,男43.2%，女56.8%,15740,0.0,500,0.0,4.76
xrage,年龄,分档：45-59岁；60-69岁；70岁及以上,45-59岁43.8%，60-69岁33.6%，70岁及以上22.6%,45-59岁44.2%，60-69岁33.2%，70岁及以上22.6%,15740,0.0,500,0.0,0.41
ba007,现居住地地址类型,1=家庭住房；2/3/4=养老院、医院或其他,家庭住房80.7%，机构或其他19.3%,家庭住房72.2%，机构或其他27.8%,1738,88.96,54,89.2,8.5
ba008,城乡类型,1=城/镇中心；2/3/4=城乡结合部、镇乡、农村或特殊地区,城/镇中心32.9%，城乡结合部等67.1%,城/镇中心31.8%，城乡结合部等68.2%,15737,0.02,500,0.0,1.1
ba010/zredu,目前最高学历,ba010缺失时使用zredu；1-2=低学历；3-7=中等学历；8-11=高学历,低学历38.5%，中等学历58.2%，高学历3.3%,低学历39.0%，中等学历58.4%，高学历2.6%,15740,0.0,500,0.0,0.74
ba011,婚姻状况,按原始编码1-6分类,已婚且配偶同住77.4%，已婚暂分居6.8%，分居0.4%，离婚1.4%，丧偶13.5%，未婚0.5%,已婚且配偶同住74.4%，已婚暂分居8.2%，分居0.4%，离婚2.2%，丧偶14.2%，未婚0.6%,15740,0.0,500,0.0,3.0
dc026,生活满意度,原始编码1-5（分数越高满意度越低）,非常满意4.7%，很满意30.0%，有点满意54.7%，不太满意8.0%，完全不满意2.7%,非常满意3.8%，很满意29.8%，有点满意56.0%，不太满意8.2%，完全不满意2.2%,15710,0.19,500,0.0,1.3
dc024,感到孤独（过去一周）,原始编码1-4；997/999及缺失不计入有效比例,几乎没有72.4%，少量7.9%，有时/中等11.6%，大多数时候8.1%,几乎没有71.9%，少量8.1%，有时/中等10.1%，大多数时候9.9%,15467,1.73,494,1.2,1.79
da001,自评健康状况,原始编码1-5；997及缺失不计入有效比例,很好11.7%，好13.9%，一般50.6%，差17.7%，很差6.1%,很好10.6%，好15.4%，一般49.9%，差16.8%，很差7.2%,15712,0.18,499,0.2,1.55
da038_s9,上月是否以上活动都没有,多选题编码：0=有其他活动；9=以上活动都没有,有其他活动50.3%，以上都没有49.7%,有其他活动50.2%，以上都没有49.8%,15715,0.16,500,0.0,0.15
da040,是否使用互联网,原始编码：1=是；2=否,使用互联网44.5%，不使用互联网55.5%,使用互联网41.0%，不使用互联网59.0%,15714,0.17,500,0.0,3.52
xchildnum,子女总数,按数值分为0个、1个、2个、3个及以上,0个1.3%，1个23.0%，2个37.8%，3个及以上38.0%,0个0.8%，1个24.8%，2个39.0%，3个及以上35.4%,15737,0.02,500,0.0,2.62
fh001,是否已办理退休,原始编码：1=是；2=否,已退休4.7%，未退休95.3%,已退休3.8%，未退休96.2%,13477,14.38,398,20.4,0.91
ff003,上月是否在找工作,原始编码：1=是；2=否,在找工作2.0%，未找工作98.0%,在找工作1.1%，未找工作98.9%,5233,66.75,189,62.2,0.99
