列名,含义,类别,原始数据有效N,原始数据加权比例(%),抽样500有效N,抽样500类别数量,抽样500比例(%),比例差(百分点)
ba001,访员记录性别,男,15740,47.96,500,216,43.2,-4.76
ba001,访员记录性别,女,15740,52.04,500,284,56.8,4.76
xrage,年龄,45-59岁,15740,43.79,500,221,44.2,0.41
xrage,年龄,60-69岁,15740,33.6,500,166,33.2,-0.4
xrage,年龄,70岁及以上,15740,22.61,500,113,22.6,-0.01
ba007,现居住地地址类型,家庭住房,1738,80.72,54,39,72.22,-8.5
ba007,现居住地地址类型,机构或其他,1738,19.28,54,15,27.78,8.5
ba008,城乡类型,城/镇中心,15737,32.9,500,159,31.8,-1.1
ba008,城乡类型,城乡结合部等,15737,67.1,500,341,68.2,1.1
ba010/zredu,目前最高学历,低学历,15740,38.5,500,195,39.0,0.5
ba010/zredu,目前最高学历,中等学历,15740,58.16,500,292,58.4,0.24
ba010/zredu,目前最高学历,高学历,15740,3.34,500,13,2.6,-0.74
ba011,婚姻状况,已婚且配偶同住,15740,77.4,500,372,74.4,-3.0
ba011,婚姻状况,已婚暂分居,15740,6.8,500,41,8.2,1.4
ba011,婚姻状况,分居,15740,0.44,500,2,0.4,-0.04
ba011,婚姻状况,离婚,15740,1.36,500,11,2.2,0.84
ba011,婚姻状况,丧偶,15740,13.46,500,71,14.2,0.74
ba011,婚姻状况,未婚,15740,0.54,500,3,0.6,0.06
dc026,生活满意度,非常满意,15710,4.72,500,19,3.8,-0.92
dc026,生活满意度,很满意,15710,29.95,500,149,29.8,-0.15
dc026,生活满意度,有点满意,15710,54.7,500,280,56.0,1.3
dc026,生活满意度,不太满意,15710,7.97,500,41,8.2,0.23
dc026,生活满意度,完全不满意,15710,2.65,500,11,2.2,-0.45
dc024,感到孤独（过去一周）,几乎没有,15467,72.38,494,355,71.86,-0.52
dc024,感到孤独（过去一周）,少量,15467,7.93,494,40,8.1,0.17
dc024,感到孤独（过去一周）,有时/中等,15467,11.56,494,50,10.12,-1.44
dc024,感到孤独（过去一周）,大多数时候,15467,8.13,494,49,9.92,1.79
da001,自评健康状况,很好,15712,11.72,499,53,10.62,-1.1
da001,自评健康状况,好,15712,13.88,499,77,15.43,1.55
da001,自评健康状况,一般,15712,50.64,499,249,49.9,-0.75
da001,自评健康状况,差,15712,17.67,499,84,16.83,-0.83
da001,自评健康状况,很差,15712,6.09,499,36,7.21,1.12
da038_s9,上月是否以上活动都没有,有其他活动,15715,50.35,500,251,50.2,-0.15
da038_s9,上月是否以上活动都没有,以上都没有,15715,49.65,500,249,49.8,0.15
da040,是否使用互联网,使用互联网,15714,44.52,500,205,41.0,-3.52
da040,是否使用互联网,不使用互联网,15714,55.48,500,295,59.0,3.52
xchildnum,子女总数,0个,15737,1.27,500,4,0.8,-0.47
xchildnum,子女总数,1个,15737,22.95,500,124,24.8,1.85
xchildnum,子女总数,2个,15737,37.76,500,195,39.0,1.24
xchildnum,子女总数,3个及以上,15737,38.02,500,177,35.4,-2.62
fh001,是否已办理退休,已退休,13477,4.68,398,15,3.77,-0.91
fh001,是否已办理退休,未退休,13477,95.32,398,383,96.23,0.91
ff003,上月是否在找工作,在找工作,5233,2.04,189,2,1.06,-0.99
ff003,上月是否在找工作,未找工作,5233,97.96,189,187,98.94,0.99
