列名,类别,目标比例,抽样比例,绝对偏差百分点,抽样人数,该列有效样本数,达到最低有效数,列总偏差百分点
ba001,男,47.5,47.5,0.0,475,1000,是,0.0
ba001,女,52.5,52.5,0.0,525,1000,是,0.0
xrage,45–59岁,43.3,43.5,0.2,432,993,是,1.1
xrage,60–69岁,33.2,33.6,0.4,334,993,是,1.1
xrage,70岁及以上,22.4,22.9,0.5,227,993,是,1.1
ba007,家庭住房,81.4,81.4,0.0,254,312,是,0.0
ba007,机构或其他,18.6,18.6,0.0,58,312,是,0.0
ba008,城/镇中心,33.1,33.1,0.0,331,1000,是,0.0
ba008,城乡结合部等,66.9,66.9,0.0,669,1000,是,0.0
ba010,低学历,38.4,38.4,0.0,384,1000,是,0.1
ba010,中学历,58.3,58.2,0.1,582,1000,是,0.1
ba010,高学历,3.4,3.4,0.0,34,1000,是,0.1
ba011,已婚且配偶同住,77.5,77.5,0.0,775,1000,是,0.1
ba011,分居,7.2,7.3,0.1,73,1000,是,0.1
ba011,离婚或丧偶,14.7,14.7,0.0,147,1000,是,0.1
ba011,未婚,0.5,0.5,0.0,5,1000,是,0.1
dc026,满意,34.5,34.6,0.1,336,972,是,0.1
dc026,有点满意,54.8,54.8,0.0,533,972,是,0.1
dc026,不满意,10.6,10.6,0.0,103,972,是,0.1
dc024,几乎不孤独,72.3,72.3,0.0,659,912,是,0.1
dc024,少量或有时孤独,19.7,19.6,0.1,179,912,是,0.1
dc024,经常孤独,8.1,8.1,0.0,74,912,是,0.1
da001,好或很好,25.6,25.6,0.0,251,980,是,0.1
da001,一般,50.7,50.7,0.0,497,980,是,0.1
da001,差或很差,23.6,23.7,0.1,232,980,是,0.1
da038_s9,有其他活动,50.5,50.5,0.0,493,976,是,0.0
da038_s9,以上都没有,49.5,49.5,0.0,483,976,是,0.0
da040,使用互联网,45.0,45.0,0.0,439,975,是,0.1
da040,不使用,55.0,55.0,0.0,536,975,是,0.1
xchildnum,0个,1.3,1.3,0.0,13,997,是,0.1
xchildnum,1个,23.0,23.0,0.0,229,997,是,0.1
xchildnum,2个,37.9,37.9,0.0,378,997,是,0.1
xchildnum,3个及以上,37.8,37.8,0.0,377,997,是,0.1
fh001,已退休,4.6,4.6,0.0,35,763,是,0.0
fh001,未退休,95.4,95.4,0.0,728,763,是,0.0
